index,corso_laurea,anno,post_unirsm,oggi_sei,soddisfazione,lavoro_design,occupazione,parole_chiavi,voto_unirsm,amore_trovato,amore_corrisposto,amore_oggi,figli,quanti_figli
134,Triennale,2008,Non ho proseguito gli studi,Dipendente,8,Si,Editoria; Art direction,,9,Si,Si,No,No,
135,Triennale,2009,Corso di specializzazione,Sto ancora studiando,10,Si,Art direction; Ricerca e sviluppo in azienda,,7,No,,,,
136,Triennale,2007,Magistrale (non Unirsm),Dipendente,7,Si,Editoria; Marketing e Advertising,"comunicazione multicanale, attinenza alla corporate, interdisciplinarietà",8,No,No,No,No,
137,Triennale,2016,Non ho proseguito gli studi,Libero professionista,7,Si,Illustrazione; Marketing e Advertising,,6,,,,,
138,Triennale,2015,Non ho proseguito gli studi,Dipendente,10,Si,Design engineering; Ricerca e sviluppo in azienda,"Innovazione, tecnologia, funzionalità",9,No,No,No,No,
139,Triennale,2015,Non ho proseguito gli studi,Dipendente,8,Si,Illustrazione; Editoria,"Interdisciplinarietà, sperimentazione, meticolosità",6,No,,,,
140,Entrambe,2013,UNIRSM,Libero professionista,10,Si,Video e multimedia; Art direction,"empatia, filosofia, provocazione",10,No,Si,No,No,5
141,Triennale,2013,Magistrale (non Unirsm),Sto ancora studiando,,Attualmente non sto lavorando,Sviluppo web e app; Service design,"Adattamento, interdisciplinarietà, stacanovismo",10,Si,Si,Si,No,
142,Triennale,2012,Non ho proseguito gli studi,Libero professionista,1,Si,Illustrazione; Video e multimedia,,3,No,Si,No,No,5
143,Triennale,2013,Magistrale (non Unirsm),Dipendente,10,Si,Design engineering; Innovazione dei materiali,"innovazione, tecnica, praticità",10,No,No,No,No,
144,Triennale,2007,Master,Libero professionista,10,Si,Marketing e Advertising; Art direction,"research, follia, caos",8,No,No,No,No,
145,Triennale,2007,Non ho proseguito gli studi,Disoccupato,,Attualmente non sto lavorando,Attualmente non sto lavorando; Faccio la mamma,,8,No,,,Si,2
146,Triennale,2006,Non ho proseguito gli studi,Libero professionista,1,Si,Design engineering; Illustrazione,,1,No,No,No,Si,2
147,Triennale,2009,Non ho proseguito gli studi,Libero professionista,10,Si,Design engineering; Progettazione di interni,CURIOSITÀ METODO FUNNY VERSATILE AUDACE DISPONIBILITÀ CONCETTUALE,9,No,No,No,No,
148,Triennale,2011,Master,Dipendente,10,Si,Illustrazione; Editoria,"inclusività, racconto, colore",10,Si,Si,Si,,
149,Triennale,2007,Magistrale (non Unirsm),Dipendente,8,Si,Design engineering; Progettazione di interni,"Ingegno, produzione, tempistiche",8,No,No,No,No,
150,Triennale,2014,Master,Sto ancora studiando,9,Attualmente non sto lavorando,Scuola e formazione; Attualmente non sto lavorando,,10,No,No,No,No,
151,Triennale,2007,Non ho proseguito gli studi,Libero professionista,9,Si,Illustrazione; Art direction,,9,,,,,
152,Triennale,2009,Non ho proseguito gli studi,Dipendente,7,Si,Editoria; Marketing e Advertising,"Curiosità, metodologia, studio",8,No,No,Si,No,
153,Triennale,2014,Non ho proseguito gli studi,Dipendente,7,Si,Design engineering; Ricerca e sviluppo in azienda,"Comprensione, sperimentazione, empatia ",10,Si,Si,No,No,
154,Triennale,2006,Magistrale (non Unirsm),Libero professionista,8,Si,Project mangement; Art direction,"metodo, cultura del progetto, sperimentazione",8,Si,Si,No,No,
